Van (datum);Van (tijdstip);Tot (datum);Tot (tijdstip);EAN-code;Meter;Metertype;Register;Volume;Eenheid;Validatiestatus;Omschrijving
01-01-2025;00:00:00;02-01-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Actief Dag;0,000;kWh;Gevalideerd;
01-01-2025;00:00:00;02-01-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Actief Nacht;607,475;kWh;Gevalideerd;
01-01-2025;00:00:00;02-01-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-01-2025;00:00:00;02-01-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Capacitief;126,775;kVArh;Gevalideerd;
01-01-2025;00:00:00;02-01-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
02-01-2025;00:00:00;03-01-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Actief Dag;554,400;kWh;Gevalideerd;
02-01-2025;00:00:00;03-01-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Actief Nacht;222,200;kWh;Gevalideerd;
02-01-2025;00:00:00;03-01-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
02-01-2025;00:00:00;03-01-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Capacitief;74,250;kVArh;Gevalideerd;
02-01-2025;00:00:00;03-01-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Inductief;59,125;kVArh;Gevalideerd;
03-01-2025;00:00:00;04-01-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Actief Dag;429,825;kWh;Gevalideerd;
03-01-2025;00:00:00;04-01-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Actief Nacht;262,350;kWh;Gevalideerd;
03-01-2025;00:00:00;04-01-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
03-01-2025;00:00:00;04-01-2025;00:00:00;="541448860020554006";;AMR-meter;Afname Capacitief;105,050;kVArh;Gevalideerd;
