,grid
0,80.0
1,80.0
2,80.0
3,80.0
4,80.0
5,80.0
6,80.0
7,150.0
8,150.0
9,150.0
10,150.0
11,150.0
12,150.0
13,150.0
14,150.0
15,150.0
16,150.0
17,150.0
18,150.0
19,150.0
20,150.0
21,80.0
22,80.0
23,80.0
24,80.0
25,80.0
26,80.0
27,80.0
28,80.0
29,80.0
30,80.0
31,150.0
32,150.0
33,150.0
34,150.0
35,150.0
36,150.0
37,150.0
38,150.0
39,150.0
40,150.0
41,150.0
42,150.0
43,150.0
44,150.0
45,80.0
46,80.0
47,80.0
48,80.0
49,80.0
50,80.0
51,80.0
52,80.0
53,80.0
54,80.0
55,150.0
56,150.0
57,150.0
58,150.0
59,150.0
60,150.0
61,150.0
62,150.0
63,150.0
64,150.0
65,150.0
66,150.0
67,150.0
68,150.0
69,80.0
70,80.0
71,80.0
72,80.0
73,80.0
74,80.0
75,80.0
76,80.0
77,80.0
78,80.0
79,150.0
80,150.0
81,150.0
82,150.0
83,150.0
84,150.0
85,150.0
86,150.0
87,150.0
88,150.0
89,150.0
90,150.0
91,150.0
92,150.0
93,80.0
94,80.0
95,80.0
96,80.0
97,80.0
98,80.0
99,80.0
100,80.0
101,80.0
102,80.0
103,150.0
104,150.0
105,150.0
106,150.0
107,150.0
108,150.0
109,150.0
110,150.0
111,150.0
112,150.0
113,150.0
114,150.0
115,150.0
116,150.0
117,80.0
118,80.0
119,80.0
120,80.0
121,80.0
122,80.0
123,80.0
124,80.0
125,80.0
126,80.0
127,150.0
128,150.0
129,150.0
130,150.0
131,150.0
132,150.0
133,150.0
134,150.0
135,150.0
136,150.0
137,150.0
138,150.0
139,150.0
140,150.0
141,80.0
142,80.0
143,80.0
144,80.0
145,80.0
146,80.0
147,80.0
148,80.0
149,80.0
150,80.0
151,150.0
152,150.0
153,150.0
154,150.0
155,150.0
156,150.0
157,150.0
158,150.0
159,150.0
160,150.0
161,150.0
162,150.0
163,150.0
164,150.0
165,80.0
166,80.0
167,80.0
168,80.0
169,80.0
170,80.0
171,80.0
172,80.0
173,80.0
174,80.0
175,150.0
176,150.0
177,150.0
178,150.0
179,150.0
180,150.0
181,150.0
182,150.0
183,150.0
184,150.0
185,150.0
186,150.0
187,150.0
188,150.0
189,80.0
190,80.0
191,80.0
192,80.0
193,80.0
194,80.0
195,80.0
196,80.0
197,80.0
198,80.0
199,150.0
200,150.0
201,150.0
202,150.0
203,150.0
204,150.0
205,150.0
206,150.0
207,150.0
208,150.0
209,150.0
210,150.0
211,150.0
212,150.0
213,80.0
214,80.0
215,80.0
216,80.0
217,80.0
218,80.0
219,80.0
220,80.0
221,80.0
222,80.0
223,150.0
224,150.0
225,150.0
226,150.0
227,150.0
228,150.0
229,150.0
230,150.0
231,150.0
232,150.0
233,150.0
234,150.0
235,150.0
236,150.0
237,80.0
238,80.0
239,80.0
240,80.0
241,80.0
242,80.0
243,80.0
244,80.0
245,80.0
246,80.0
247,150.0
248,150.0
249,150.0
250,150.0
251,150.0
252,150.0
253,150.0
254,150.0
255,150.0
256,150.0
257,150.0
258,150.0
259,150.0
260,150.0
261,80.0
262,80.0
263,80.0
264,80.0
265,80.0
266,80.0
267,80.0
268,80.0
269,80.0
270,80.0
271,150.0
272,150.0
273,150.0
274,150.0
275,150.0
276,150.0
277,150.0
278,150.0
279,150.0
280,150.0
281,150.0
282,150.0
283,150.0
284,150.0
285,80.0
286,80.0
287,80.0
288,80.0
289,80.0
290,80.0
291,80.0
292,80.0
293,80.0
294,80.0
295,150.0
296,150.0
297,150.0
298,150.0
299,150.0
300,150.0
301,150.0
302,150.0
303,150.0
304,150.0
305,150.0
306,150.0
307,150.0
308,150.0
309,80.0
310,80.0
311,80.0
312,80.0
313,80.0
314,80.0
315,80.0
316,80.0
317,80.0
318,80.0
319,150.0
320,150.0
321,150.0
322,150.0
323,150.0
324,150.0
325,150.0
326,150.0
327,150.0
328,150.0
329,150.0
330,150.0
331,150.0
332,150.0
333,80.0
334,80.0
335,80.0
336,80.0
337,80.0
338,80.0
339,80.0
340,80.0
341,80.0
342,80.0
343,150.0
344,150.0
345,150.0
346,150.0
347,150.0
348,150.0
349,150.0
350,150.0
351,150.0
352,150.0
353,150.0
354,150.0
355,150.0
356,150.0
357,80.0
358,80.0
359,80.0
360,80.0
361,80.0
362,80.0
363,80.0
364,80.0
365,80.0
366,80.0
367,150.0
368,150.0
369,150.0
370,150.0
371,150.0
372,150.0
373,150.0
374,150.0
375,150.0
376,150.0
377,150.0
378,150.0
379,150.0
380,150.0
381,80.0
382,80.0
383,80.0
384,80.0
385,80.0
386,80.0
387,80.0
388,80.0
389,80.0
390,80.0
391,150.0
392,150.0
393,150.0
394,150.0
395,150.0
396,150.0
397,150.0
398,150.0
399,150.0
400,150.0
401,150.0
402,150.0
403,150.0
404,150.0
405,80.0
406,80.0
407,80.0
408,80.0
409,80.0
410,80.0
411,80.0
412,80.0
413,80.0
414,80.0
415,150.0
416,150.0
417,150.0
418,150.0
419,150.0
420,150.0
421,150.0
422,150.0
423,150.0
424,150.0
425,150.0
426,150.0
427,150.0
428,150.0
429,80.0
430,80.0
431,80.0
432,80.0
433,80.0
434,80.0
435,80.0
436,80.0
437,80.0
438,80.0
439,150.0
440,150.0
441,150.0
442,150.0
443,150.0
444,150.0
445,150.0
446,150.0
447,150.0
448,150.0
449,150.0
450,150.0
451,150.0
452,150.0
453,80.0
454,80.0
455,80.0
456,80.0
457,80.0
458,80.0
459,80.0
460,80.0
461,80.0
462,80.0
463,150.0
464,150.0
465,150.0
466,150.0
467,150.0
468,150.0
469,150.0
470,150.0
471,150.0
472,150.0
473,150.0
474,150.0
475,150.0
476,150.0
477,80.0
478,80.0
479,80.0
480,80.0
481,80.0
482,80.0
483,80.0
484,80.0
485,80.0
486,80.0
487,150.0
488,150.0
489,150.0
490,150.0
491,150.0
492,150.0
493,150.0
494,150.0
495,150.0
496,150.0
497,150.0
498,150.0
499,150.0
500,150.0
501,80.0
502,80.0
503,80.0
504,80.0
505,80.0
506,80.0
507,80.0
508,80.0
509,80.0
510,80.0
511,150.0
512,150.0
513,150.0
514,150.0
515,150.0
516,150.0
517,150.0
518,150.0
519,150.0
520,150.0
521,150.0
522,150.0
523,150.0
524,150.0
525,80.0
526,80.0
527,80.0
528,80.0
529,80.0
530,80.0
531,80.0
532,80.0
533,80.0
534,80.0
535,150.0
536,150.0
537,150.0
538,150.0
539,150.0
540,150.0
541,150.0
542,150.0
543,150.0
544,150.0
545,150.0
546,150.0
547,150.0
548,150.0
549,80.0
550,80.0
551,80.0
552,80.0
553,80.0
554,80.0
555,80.0
556,80.0
557,80.0
558,80.0
559,150.0
560,150.0
561,150.0
562,150.0
563,150.0
564,150.0
565,150.0
566,150.0
567,150.0
568,150.0
569,150.0
570,150.0
571,150.0
572,150.0
573,80.0
574,80.0
575,80.0
576,80.0
577,80.0
578,80.0
579,80.0
580,80.0
581,80.0
582,80.0
583,150.0
584,150.0
585,150.0
586,150.0
587,150.0
588,150.0
589,150.0
590,150.0
591,150.0
592,150.0
593,150.0
594,150.0
595,150.0
596,150.0
597,80.0
598,80.0
599,80.0
600,80.0
601,80.0
602,80.0
603,80.0
604,80.0
605,80.0
606,80.0
607,150.0
608,150.0
609,150.0
610,150.0
611,150.0
612,150.0
613,150.0
614,150.0
615,150.0
616,150.0
617,150.0
618,150.0
619,150.0
620,150.0
621,80.0
622,80.0
623,80.0
624,80.0
625,80.0
626,80.0
627,80.0
628,80.0
629,80.0
630,80.0
631,150.0
632,150.0
633,150.0
634,150.0
635,150.0
636,150.0
637,150.0
638,150.0
639,150.0
640,150.0
641,150.0
642,150.0
643,150.0
644,150.0
645,80.0
646,80.0
647,80.0
648,80.0
649,80.0
650,80.0
651,80.0
652,80.0
653,80.0
654,80.0
655,150.0
656,150.0
657,150.0
658,150.0
659,150.0
660,150.0
661,150.0
662,150.0
663,150.0
664,150.0
665,150.0
666,150.0
667,150.0
668,150.0
669,80.0
670,80.0
671,80.0
672,80.0
673,80.0
674,80.0
675,80.0
676,80.0
677,80.0
678,80.0
679,150.0
680,150.0
681,150.0
682,150.0
683,150.0
684,150.0
685,150.0
686,150.0
687,150.0
688,150.0
689,150.0
690,150.0
691,150.0
692,150.0
693,80.0
694,80.0
695,80.0
696,80.0
697,80.0
698,80.0
699,80.0
700,80.0
701,80.0
702,80.0
703,150.0
704,150.0
705,150.0
706,150.0
707,150.0
708,150.0
709,150.0
710,150.0
711,150.0
712,150.0
713,150.0
714,150.0
715,150.0
716,150.0
717,80.0
718,80.0
719,80.0
720,80.0
721,80.0
722,80.0
723,80.0
724,80.0
725,80.0
726,80.0
727,150.0
728,150.0
729,150.0
730,150.0
731,150.0
732,150.0
733,150.0
734,150.0
735,150.0
736,150.0
737,150.0
738,150.0
739,150.0
740,150.0
741,80.0
742,80.0
743,80.0
744,80.0
745,80.0
746,80.0
747,80.0
748,80.0
749,80.0
750,80.0
751,150.0
752,150.0
753,150.0
754,150.0
755,150.0
756,150.0
757,150.0
758,150.0
759,150.0
760,150.0
761,150.0
762,150.0
763,150.0
764,150.0
765,80.0
766,80.0
767,80.0
768,80.0
769,80.0
770,80.0
771,80.0
772,80.0
773,80.0
774,80.0
775,150.0
776,150.0
777,150.0
778,150.0
779,150.0
780,150.0
781,150.0
782,150.0
783,150.0
784,150.0
785,150.0
786,150.0
787,150.0
788,150.0
789,80.0
790,80.0
791,80.0
792,80.0
793,80.0
794,80.0
795,80.0
796,80.0
797,80.0
798,80.0
799,150.0
800,150.0
801,150.0
802,150.0
803,150.0
804,150.0
805,150.0
806,150.0
807,150.0
808,150.0
809,150.0
810,150.0
811,150.0
812,150.0
813,80.0
814,80.0
815,80.0
816,80.0
817,80.0
818,80.0
819,80.0
820,80.0
821,80.0
822,80.0
823,150.0
824,150.0
825,150.0
826,150.0
827,150.0
828,150.0
829,150.0
830,150.0
831,150.0
832,150.0
833,150.0
834,150.0
835,150.0
836,150.0
837,80.0
838,80.0
839,80.0
840,80.0
841,80.0
842,80.0
843,80.0
844,80.0
845,80.0
846,80.0
847,150.0
848,150.0
849,150.0
850,150.0
851,150.0
852,150.0
853,150.0
854,150.0
855,150.0
856,150.0
857,150.0
858,150.0
859,150.0
860,150.0
861,80.0
862,80.0
863,80.0
864,80.0
865,80.0
866,80.0
867,80.0
868,80.0
869,80.0
870,80.0
871,150.0
872,150.0
873,150.0
874,150.0
875,150.0
876,150.0
877,150.0
878,150.0
879,150.0
880,150.0
881,150.0
882,150.0
883,150.0
884,150.0
885,80.0
886,80.0
887,80.0
888,80.0
889,80.0
890,80.0
891,80.0
892,80.0
893,80.0
894,80.0
895,150.0
896,150.0
897,150.0
898,150.0
899,150.0
900,150.0
901,150.0
902,150.0
903,150.0
904,150.0
905,150.0
906,150.0
907,150.0
908,150.0
909,80.0
910,80.0
911,80.0
912,80.0
913,80.0
914,80.0
915,80.0
916,80.0
917,80.0
918,80.0
919,150.0
920,150.0
921,150.0
922,150.0
923,150.0
924,150.0
925,150.0
926,150.0
927,150.0
928,150.0
929,150.0
930,150.0
931,150.0
932,150.0
933,80.0
934,80.0
935,80.0
936,80.0
937,80.0
938,80.0
939,80.0
940,80.0
941,80.0
942,80.0
943,150.0
944,150.0
945,150.0
946,150.0
947,150.0
948,150.0
949,150.0
950,150.0
951,150.0
952,150.0
953,150.0
954,150.0
955,150.0
956,150.0
957,80.0
958,80.0
959,80.0
960,80.0
961,80.0
962,80.0
963,80.0
964,80.0
965,80.0
966,80.0
967,150.0
968,150.0
969,150.0
970,150.0
971,150.0
972,150.0
973,150.0
974,150.0
975,150.0
976,150.0
977,150.0
978,150.0
979,150.0
980,150.0
981,80.0
982,80.0
983,80.0
984,80.0
985,80.0
986,80.0
987,80.0
988,80.0
989,80.0
990,80.0
991,150.0
992,150.0
993,150.0
994,150.0
995,150.0
996,150.0
997,150.0
998,150.0
999,150.0
1000,150.0
1001,150.0
1002,150.0
1003,150.0
1004,150.0
1005,80.0
1006,80.0
1007,80.0
1008,80.0
1009,80.0
1010,80.0
1011,80.0
1012,80.0
1013,80.0
1014,80.0
1015,150.0
1016,150.0
1017,150.0
1018,150.0
1019,150.0
1020,150.0
1021,150.0
1022,150.0
1023,150.0
1024,150.0
1025,150.0
1026,150.0
1027,150.0
1028,150.0
1029,80.0
1030,80.0
1031,80.0
1032,80.0
1033,80.0
1034,80.0
1035,80.0
1036,80.0
1037,80.0
1038,80.0
1039,150.0
1040,150.0
1041,150.0
1042,150.0
1043,150.0
1044,150.0
1045,150.0
1046,150.0
1047,150.0
1048,150.0
1049,150.0
1050,150.0
1051,150.0
1052,150.0
1053,80.0
1054,80.0
1055,80.0
1056,80.0
1057,80.0
1058,80.0
1059,80.0
1060,80.0
1061,80.0
1062,80.0
1063,150.0
1064,150.0
1065,150.0
1066,150.0
1067,150.0
1068,150.0
1069,150.0
1070,150.0
1071,150.0
1072,150.0
1073,150.0
1074,150.0
1075,150.0
1076,150.0
1077,80.0
1078,80.0
1079,80.0
1080,80.0
1081,80.0
1082,80.0
