calculator,scenario,month,offtake_mwh,peak_mw,injection_mwh,days,access_cost_eur,peak_cost_eur,odv_surcharge_cost_eur,uncapped_grid_cost_eur,capped_grid_cost_eur,cap_applied,offtake_base_cost_eur,injection_cost_eur,fixed_cost_eur,total_cost_eur,relative_cost_eur_per_mwh
belgian_general,baseline,2025-01,453.755,1.481,0.0,31,5874.17,7526.58,1917.3,15318.05,15318.05,0,13222.43,0.0,225.98,28766.46,63.3964
belgian_general,baseline,2025-02,452.405,1.631,0.0,28,5305.7,7489.17,1911.59,14706.47,14706.47,0,13183.08,0.0,204.11,28093.66,62.0985
belgian_general,baseline,2025-03,437.612,1.544,0.0,31,5874.17,7846.86,1849.09,15570.12,15570.12,0,12752.03,0.0,225.98,28548.12,65.2361
belgian_general,baseline,2025-04,383.22,1.411,0.0,30,5684.68,6939.41,1619.26,14243.35,14243.35,0,11167.04,0.0,218.69,25629.07,66.8782
belgian_general,baseline,2025-05,371.894,1.32,0.0,31,5874.17,6708.1,1571.4,14153.67,14153.67,0,10836.98,0.0,225.98,25216.63,67.806
belgian_general,baseline,2025-06,375.752,1.344,0.0,30,5684.68,6612.14,1587.7,13884.53,13884.53,0,10949.42,0.0,218.69,25052.64,66.6733
belgian_general,baseline,2025-07,339.062,1.344,0.0,31,5874.17,6832.55,1432.67,14139.39,14139.39,0,9880.26,0.0,225.98,24245.64,71.508
belgian_general,baseline,2025-08,360.262,1.246,0.0,31,5874.17,6334.34,1522.25,13730.77,13730.77,0,10498.05,0.0,225.98,24454.79,67.8805
belgian_general,baseline,2025-09,372.539,1.264,0.0,30,5684.68,6216.2,1574.13,13475.01,13475.01,0,10855.79,0.0,218.69,24549.49,65.8978
belgian_general,baseline,2025-10,405.539,1.351,0.0,31,5874.17,6868.14,1713.56,14455.87,14455.87,0,11817.41,0.0,225.98,26499.26,65.3433
belgian_general,baseline,2025-11,424.869,1.505,0.0,30,5684.68,7404.22,1795.24,14884.15,14884.15,0,12380.67,0.0,218.69,27483.5,64.6871
belgian_general,baseline,2025-12,133.196,1.568,0.0,31,5874.17,7971.31,562.81,14408.29,14408.29,0,3881.33,0.0,225.98,18515.6,139.0101
belgian_general,with_pv,2025-01,407.043,1.479,5.448,31,5874.17,7519.9,1719.92,15113.99,15113.99,0,11861.25,9.54,225.98,27210.75,66.8498
belgian_general,with_pv,2025-02,369.763,1.622,19.031,28,5305.7,7446.38,1562.4,14314.47,14314.47,0,10774.88,33.32,204.11,25326.79,68.4947
belgian_general,with_pv,2025-03,333.191,1.425,32.51,31,5874.17,7244.26,1407.86,14526.3,14526.3,0,9709.18,56.92,225.98,24518.39,73.5866
belgian_general,with_pv,2025-04,246.537,1.148,53.634,30,5684.68,5648.18,1041.72,12374.58,12374.58,0,7184.1,93.91,218.69,19871.28,80.6015
belgian_general,with_pv,2025-05,203.939,1.035,98.732,31,5874.17,5263.44,861.72,11999.34,11999.34,0,5942.79,172.88,225.98,18340.99,89.9336
belgian_general,with_pv,2025-06,180.201,1.208,88.997,30,5684.68,5940.7,761.42,12386.8,12386.8,0,5251.07,155.83,218.69,18012.39,99.957
belgian_general,with_pv,2025-07,181.685,1.058,50.459,31,5874.17,5378.79,767.69,12020.66,12020.66,0,5294.31,88.35,225.98,17629.3,97.032
