,demand
0,0.476
1,0.47252
2,0.44451999999999997
3,0.40252
4,0.36751999999999996
5,0.364
6,0.35352
7,0.31851999999999997
8,0.28352
9,0.28352
10,0.27652
11,0.28352
12,0.29752
13,0.308
14,0.30451999999999996
15,0.315
16,0.36751999999999996
17,0.57052
18,0.56352
19,0.56352
20,0.61952
21,0.637
22,0.602
23,0.609
24,0.68952
25,0.777
26,0.88552
27,0.85752
28,0.76652
29,0.826
30,0.80152
31,0.87848
32,0.93452
33,0.952
34,0.966
35,0.93452
36,1.1515199999999999
37,1.246
38,1.29852
39,1.17252
40,0.91
41,0.9695199999999999
42,1.12352
43,1.15852
44,0.9765199999999999
45,0.91352
46,0.938
47,0.89952
48,0.868
49,0.84
50,0.85752
51,0.847
52,0.93452
53,0.90652
54,0.89252
55,0.89252
56,0.82952
57,0.819
58,0.82252
59,0.826
60,0.847
61,0.805
62,0.74552
63,0.70352
64,0.61252
65,0.61252
66,0.63
67,0.61952
68,0.69652
69,0.7175199999999999
70,0.7
71,0.658
72,0.574
73,0.623
74,0.735
75,0.77352
76,0.686
77,0.791
78,0.847
79,0.70352
80,0.686
81,0.64752
82,0.616
83,0.56352
84,0.476
85,0.434
86,0.525
87,0.53552
88,0.588
89,0.62652
90,0.47252
91,0.504
92,0.55652
93,0.532
94,0.52152
95,0.50052
96,0.48652
97,0.476
98,0.455
99,0.44451999999999997
100,0.406
101,0.399
102,0.392
103,0.36052
104,0.31851999999999997
105,0.31851999999999997
106,0.31151999999999996
107,0.32552
108,0.33252
109,0.32552
110,0.33252
111,0.36751999999999996
112,0.33952
113,0.455
114,0.616
115,0.61252
116,0.61252
117,0.47252
118,0.54252
119,0.644
120,0.679
121,0.5915199999999999
122,0.609
123,0.5985199999999999
124,0.65452
125,0.73152
126,0.826
127,0.92748
128,0.994
129,0.98348
130,1.11652
131,1.06752
132,0.98352
133,1.022
134,0.973
135,0.93452
136,0.959
137,1.043
138,0.959
139,0.9695199999999999
140,0.917
141,1.06052
142,0.994
143,0.8365199999999999
144,0.77
145,0.826
146,0.875
147,0.924
148,1.07452
149,1.02552
150,0.99752
151,0.9765199999999999
152,0.82952
153,0.75952
154,0.78752
