month,energy_kwh,mean_power_kw
2025-01,1769079.61028,2377.7951751075266
2025-02,1674397.025102,2491.662239735119
2025-03,1540384.415453,2073.195713934051
2025-04,1233114.025132,1712.658368238889
2025-05,1165843.3699999999,1566.9937768817204
2025-06,1169968.18,1624.9558055555556
2025-07,1151709.015,1547.9959879032256
2025-08,1229977.52501,1653.1955981317203
2025-09,1228771.080008,1706.626500011111
2025-10,1328510.450016,1785.6323252903226
2025-11,1473687.195002,2046.7877708361111
2025-12,1232913.805309,1657.142211436828
