Latitude (decimal degrees):	51.297
Longitude (decimal degrees):	5.105
Elevation (m):	27
Radiation database:	PVGIS-SARAH3


Slope: 38 deg. (optimum)
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	2307.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20200101:0010,0.0,0.0,0.0,2.79,2.28,0.0
20200101:0110,0.0,0.0,0.0,2.47,1.86,0.0
20200101:0210,0.0,0.0,0.0,2.05,1.93,0.0
20200101:0310,0.0,0.0,0.0,1.38,2.0,0.0
20200101:0410,0.0,0.0,0.0,0.69,1.93,0.0
20200101:0510,0.0,0.0,0.0,-0.09,1.93,0.0
20200101:0610,0.0,0.0,0.0,-0.73,2.0,0.0
20200101:0710,0.0,0.0,0.0,-1.13,1.86,0.0
20200101:0810,0.0,3.65,2.37,-1.59,1.86,0.0
20200101:0910,82290.69,54.74,8.54,-0.51,1.31,0.0
20200101:1010,86258.73,57.52,12.99,1.88,1.17,0.0
20200101:1110,130322.43,80.26,15.36,3.24,1.45,0.0
20200101:1210,135144.06,83.0,15.44,4.28,1.66,0.0
20200101:1310,195841.23,112.97,13.22,4.99,1.79,0.0
20200101:1410,196602.54,113.12,8.9,5.22,1.66,0.0
20200101:1510,58044.12,43.26,2.83,4.62,1.66,0.0
20200101:1610,0.0,0.0,0.0,3.38,1.93,0.0
20200101:1710,0.0,0.0,0.0,2.09,2.07,0.0
20200101:1810,0.0,0.0,0.0,1.15,2.21,0.0
20200101:1910,0.0,0.0,0.0,0.22,2.34,0.0
20200101:2010,0.0,0.0,0.0,0.34,2.48,0.0
20200101:2110,0.0,0.0,0.0,0.34,2.41,0.0
20200101:2210,0.0,0.0,0.0,0.54,2.21,0.0
20200101:2310,0.0,0.0,0.0,0.69,2.07,0.0
20200102:0010,0.0,0.0,0.0,0.89,2.0,0.0
20200102:0110,0.0,0.0,0.0,1.1,1.93,0.0
20200102:0210,0.0,0.0,0.0,1.31,1.93,0.0
20200102:0310,0.0,0.0,0.0,1.65,1.93,0.0
20200102:0410,0.0,0.0,0.0,2.04,1.93,0.0
20200102:0510,0.0,0.0,0.0,2.43,2.07,0.0
20200102:0610,0.0,0.0,0.0,2.88,2.21,0.0
20200102:0710,0.0,0.0,0.0,1.91,2.14,0.0
20200102:0810,0.0,3.65,2.39,2.32,2.28,0.0
20200102:0910,161490.0,94.93,8.58,2.97,2.34,0.0
20200102:1010,227008.8,127.27,13.04,3.74,2.41,0.0
20200102:1110,90411.33,60.26,15.44,4.68,2.48,0.0
20200102:1210,257230.5,142.96,15.53,5.48,2.76,0.0
20200102:1310,107921.46,69.55,13.32,6.05,2.9,0.0
20200102:1410,84205.5,57.13,9.01,6.35,3.52,0.0
20200102:1510,1591.83,7.3,2.95,6.27,3.52,0.0
20200102:1610,0.0,0.0,0.0,6.14,3.52,0.0
20200102:1710,0.0,0.0,0.0,6.13,3.72,0.0
20200102:1810,0.0,0.0,0.0,6.22,4.0,0.0
20200102:1910,0.0,0.0,0.0,6.21,3.93,0.0
20200102:2010,0.0,0.0,0.0,6.52,4.07,0.0
20200102:2110,0.0,0.0,0.0,6.89,4.34,0.0
20200102:2210,0.0,0.0,0.0,7.3,4.55,0.0
20200102:2310,0.0,0.0,0.0,7.5,4.55,0.0
20200103:0010,0.0,0.0,0.0,7.85,4.83,0.0
20200103:0110,0.0,0.0,0.0,8.2,5.03,0.0
20200103:0210,0.0,0.0,0.0,8.4,4.97,0.0
20200103:0310,0.0,0.0,0.0,8.43,4.9,0.0
20200103:0410,0.0,0.0,0.0,8.39,4.83,0.0
20200103:0510,0.0,0.0,0.0,8.31,4.83,0.0
20200103:0610,0.0,0.0,0.0,8.23,4.83,0.0
20200103:0710,0.0,0.0,0.0,9.0,5.17,0.0
20200103:0810,1522.62,7.3,2.42,9.12,5.52,0.0
20200103:0910,78345.72,54.61,8.62,9.36,5.72,0.0
20200103:1010,11558.07,15.52,13.11,9.78,5.86,0.0
20200103:1110,83052.0,57.52,15.52,10.23,6.07,0.0
20200103:1210,32620.98,29.22,15.63,10.44,6.62,0.0
20200103:1310,102523.08,67.68,13.44,10.1,6.55,0.0
20200103:1410,20993.7,21.91,9.14,9.71,6.21,0.0
20200103:1510,1522.62,7.3,3.08,9.35,5.38,0.0
20200103:1610,0.0,0.0,0.0,8.82,4.76,0.0
20200103:1710,0.0,0.0,0.0,8.01,4.55,0.0
20200103:1810,0.0,0.0,0.0,7.46,3.79,0.0
20200103:1910,0.0,0.0,0.0,7.04,3.66,0.0
20200103:2010,0.0,0.0,0.0,6.49,3.03,0.0
20200103:2110,0.0,0.0,0.0,5.82,2.55,0.0
20200103:2210,0.0,0.0,0.0,4.77,2.34,0.0
20200103:2310,0.0,0.0,0.0,4.25,2.69,0.0
20200104:0010,0.0,0.0,0.0,3.67,2.83,0.0
20200104:0110,0.0,0.0,0.0,3.25,2.83,0.0
20200104:0210,0.0,0.0,0.0,2.91,2.97,0.0
20200104:0310,0.0,0.0,0.0,3.05,3.17,0.0
20200104:0410,0.0,0.0,0.0,3.42,3.24,0.0
20200104:0510,0.0,0.0,0.0,3.72,3.38,0.0
20200104:0610,0.0,0.0,0.0,3.8,3.59,0.0
20200104:0710,0.0,0.0,0.0,4.0,3.72,0.0
20200104:0810,20301.6,21.2,2.46,4.15,4.07,0.0
20200104:0910,484769.91,251.07,8.68,4.65,4.21,0.0
20200104:1010,675443.46,344.36,13.18,5.14,4.14,0.0
20200104:1110,394589.28,208.41,15.61,5.83,4.83,0.0
20200104:1210,248279.34,138.78,15.74,6.52,4.97,0.0
20200104:1310,70571.13,50.22,13.56,7.31,5.31,0.0
20200104:1410,10450.71,14.61,9.27,7.29,4.28,0.0
20200104:1510,0.0,2.74,3.22,7.11,4.0,0.0
20200104:1610,0.0,0.0,0.0,6.86,4.0,0.0
20200104:1710,0.0,0.0,0.0,6.77,3.93,0.0
20200104:1810,0.0,0.0,0.0,6.77,3.66,0.0
20200104:1910,0.0,0.0,0.0,6.75,3.24,0.0
20200104:2010,0.0,0.0,0.0,6.7,2.83,0.0
20200104:2110,0.0,0.0,0.0,6.59,2.55,0.0
20200104:2210,0.0,0.0,0.0,6.35,2.41,0.0
20200104:2310,0.0,0.0,0.0,6.28,2.48,0.0
20200105:0010,0.0,0.0,0.0,6.1,2.48,0.0
20200105:0110,0.0,0.0,0.0,5.73,2.48,0.0
20200105:0210,0.0,0.0,0.0,5.44,2.48,0.0
20200105:0310,0.0,0.0,0.0,5.23,2.34,0.0
20200105:0410,0.0,0.0,0.0,4.74,2.14,0.0
20200105:0510,0.0,0.0,0.0,4.35,2.0,0.0
20200105:0610,0.0,0.0,0.0,3.93,2.0,0.0
20200105:0710,0.0,0.0,0.0,3.96,2.14,0.0
20200105:0810,0.0,3.65,2.5,3.39,2.21,0.0
20200105:0910,70640.34,49.6,8.74,3.94,2.21,0.0
20200105:1010,78022.74,53.87,13.26,5.23,2.21,0.0
20200105:1110,86235.66,58.43,15.71,6.28,2.48,0.0
20200105:1210,99916.17,65.74,15.86,6.82,2.41,0.0
20200105:1310,65449.59,47.48,13.69,7.1,2.34,0.0
20200105:1410,36242.97,31.04,9.41,7.21,2.48,0.0
20200105:1510,0.0,5.48,3.37,6.89,2.34,0.0
20200105:1610,0.0,0.0,0.0,6.23,2.28,0.0
20200105:1710,0.0,0.0,0.0,5.83,2.41,0.0
20200105:1810,0.0,0.0,0.0,5.71,2.55,0.0
20200105:1910,0.0,0.0,0.0,6.04,2.55,0.0
20200105:2010,0.0,0.0,0.0,5.97,2.62,0.0
20200105:2110,0.0,0.0,0.0,5.78,2.62,0.0
20200105:2210,0.0,0.0,0.0,5.63,2.62,0.0
20200105:2310,0.0,0.0,0.0,5.24,2.55,0.0
20200106:0010,0.0,0.0,0.0,5.04,2.48,0.0
20200106:0110,0.0,0.0,0.0,4.77,2.48,0.0
20200106:0210,0.0,0.0,0.0,4.76,2.41,0.0
20200106:0310,0.0,0.0,0.0,4.74,2.41,0.0
20200106:0410,0.0,0.0,0.0,4.74,2.48,0.0
20200106:0510,0.0,0.0,0.0,4.59,2.55,0.0
20200106:0610,0.0,0.0,0.0,4.62,2.69,0.0
20200106:0710,0.0,0.0,0.0,4.86,2.55,0.0
20200106:0810,1614.9,7.3,2.55,4.55,2.55,0.0
20200106:0910,778174.17,399.26,8.81,4.36,2.55,0.0
20200106:1010,1141226.76,593.53,13.35,4.91,2.41,0.0
20200106:1110,1329316.47,701.31,15.82,5.65,2.69,0.0
20200106:1210,1327401.66,701.46,15.98,6.46,2.9,0.0
20200106:1310,1176662.28,617.61,13.83,7.25,2.9,0.0
20200106:1410,767354.34,398.49,9.55,7.55,2.83,0.0
20200106:1510,72785.85,51.6,3.51,7.18,2.9,0.0
20200106:1610,0.0,0.0,0.0,6.27,3.17,0.0
20200106:1710,0.0,0.0,0.0,5.73,3.72,0.0
20200106:1810,0.0,0.0,0.0,5.42,4.28,0.0
20200106:1910,0.0,0.0,0.0,4.92,4.21,0.0
20200106:2010,0.0,0.0,0.0,4.54,4.0,0.0
20200106:2110,0.0,0.0,0.0,4.38,3.93,0.0
20200106:2210,0.0,0.0,0.0,4.61,3.72,0.0
20200106:2310,0.0,0.0,0.0,5.05,3.59,0.0
20200107:0010,0.0,0.0,0.0,5.68,3.66,0.0
20200107:0110,0.0,0.0,0.0,6.18,3.79,0.0
20200107:0210,0.0,0.0,0.0,6.95,3.59,0.0
20200107:0310,0.0,0.0,0.0,7.18,3.24,0.0
20200107:0410,0.0,0.0,0.0,6.73,3.17,0.0
20200107:0510,0.0,0.0,0.0,6.31,3.17,0.0
20200107:0610,0.0,0.0,0.0,5.8,2.97,0.0
20200107:0710,0.0,0.0,0.0,5.32,2.62,0.0
20200107:0810,0.0,3.65,2.61,4.9,2.48,0.0
20200107:0910,51100.05,39.26,8.88,5.11,2.48,0.0
20200107:1010,50823.21,39.26,13.44,6.24,2.69,0.0
20200107:1110,82382.97,56.61,15.93,7.51,4.21,0.0
20200107:1210,111566.52,72.13,16.11,8.33,3.93,0.0
20200107:1310,223271.46,127.85,13.97,8.9,4.21,0.0
20200107:1410,409077.24,218.56,9.7,8.84,3.72,0.0
20200107:1510,6759.51,11.87,3.67,8.51,3.38,0.0
20200107:1610,0.0,0.0,0.0,7.67,3.72,0.0
20200107:1710,0.0,0.0,0.0,6.96,4.0,0.0
20200107:1810,0.0,0.0,0.0,6.67,4.34,0.0
20200107:1910,0.0,0.0,0.0,6.13,4.41,0.0
20200107:2010,0.0,0.0,0.0,6.06,4.69,0.0
20200107:2110,0.0,0.0,0.0,6.4,4.97,0.0
20200107:2210,0.0,0.0,0.0,6.8,4.83,0.0
20200107:2310,0.0,0.0,0.0,7.37,4.9,0.0
20200108:0010,0.0,0.0,0.0,8.08,5.03,0.0
20200108:0110,0.0,0.0,0.0,8.81,5.1,0.0
20200108:0210,0.0,0.0,0.0,9.47,5.03,0.0
20200108:0310,0.0,0.0,0.0,9.98,4.9,0.0
20200108:0410,0.0,0.0,0.0,10.32,4.69,0.0
20200108:0510,0.0,0.0,0.0,10.57,4.55,0.0
20200108:0610,0.0,0.0,0.0,10.86,4.48,0.0
20200108:0710,0.0,0.0,0.0,10.29,4.41,0.0
20200108:0810,0.0,3.65,2.67,10.58,4.34,0.0
20200108:0910,126492.81,80.05,8.96,10.92,4.41,0.0
20200108:1010,47985.6,38.35,13.54,11.13,4.21,0.0
20200108:1110,26507.43,25.56,16.05,11.38,4.28,0.0
20200108:1210,146263.8,90.86,16.25,11.49,4.14,0.0
20200108:1310,168157.23,101.83,14.12,11.53,3.86,0.0
20200108:1410,47870.25,38.35,9.86,11.57,3.59,0.0
20200108:1510,20047.83,21.47,3.83,11.48,3.31,0.0
20200108:1610,0.0,0.0,0.0,11.31,2.9,0.0
20200108:1710,0.0,0.0,0.0,11.1,2.41,0.0
20200108:1810,0.0,0.0,0.0,10.85,2.0,0.0
20200108:1910,0.0,0.0,0.0,10.75,1.79,0.0
20200108:2010,0.0,0.0,0.0,10.59,1.66,0.0
20200108:2110,0.0,0.0,0.0,10.39,1.72,0.0
20200108:2210,0.0,0.0,0.0,10.35,1.86,0.0
20200108:2310,0.0,0.0,0.0,10.38,2.07,0.0
20200109:0010,0.0,0.0,0.0,10.43,2.48,0.0
20200109:0110,0.0,0.0,0.0,10.52,3.1,0.0
20200109:0210,0.0,0.0,0.0,10.57,3.79,0.0
20200109:0310,0.0,0.0,0.0,10.63,4.48,0.0
20200109:0410,0.0,0.0,0.0,10.71,4.83,0.0
20200109:0510,0.0,0.0,0.0,10.83,4.9,0.0
20200109:0610,0.0,0.0,0.0,10.85,5.1,0.0
20200109:0710,0.0,0.0,0.0,11.34,5.38,0.0
20200109:0810,0.0,1.83,2.75,11.43,5.66,0.0
20200109:0910,140911.56,87.52,9.05,11.47,5.79,0.0
20200109:1010,51053.91,40.17,13.65,11.76,6.0,0.0
20200109:1110,109720.92,72.13,16.18,12.02,6.07,0.0
20200109:1210,46163.07,37.43,16.39,12.22,6.07,0.0
20200109:1310,83882.52,58.43,14.27,12.27,5.93,0.0
20200109:1410,13934.28,17.35,10.02,12.28,5.66,0.0
20200109:1510,0.0,2.74,4.0,12.21,5.31,0.0
20200109:1610,0.0,0.0,0.0,12.03,5.1,0.0
20200109:1710,0.0,0.0,0.0,11.88,4.97,0.0
20200109:1810,0.0,0.0,0.0,11.72,4.9,0.0
20200109:1910,0.0,0.0,0.0,11.63,4.97,0.0
20200109:2010,0.0,0.0,0.0,11.4,4.97,0.0
20200109:2110,0.0,0.0,0.0,11.29,4.97,0.0
20200109:2210,0.0,0.0,0.0,11.25,4.76,0.0
20200109:2310,0.0,0.0,0.0,11.02,5.1,0.0
