month,energy_kwh,mean_power_kw
2025-01,2717516.7528,913.1440701612903
2025-02,5269641.20736,1960.4319967857143
2025-03,7230763.69944,2432.962213808883
2025-04,10088737.58772,3503.0338846249997
2025-05,14185585.38456,4766.661755564516
2025-06,15139466.9838,5256.759369375
2025-07,11161023.15372,3750.343801653226
2025-08,10361260.76076,3481.6064384274196
2025-09,10623015.06756,3688.5468984583335
2025-10,6124711.76508,2058.0348672983873
2025-11,3392116.2654,1177.8181477083333
2025-12,1990673.63832,668.9091526612902
