calculator,scenario,month,offtake_mwh,peak_mw,injection_mwh,days,access_cost_eur,peak_cost_eur,odv_surcharge_cost_eur,uncapped_grid_cost_eur,capped_grid_cost_eur,cap_applied,offtake_base_cost_eur,injection_cost_eur,fixed_cost_eur,total_cost_eur,relative_cost_eur_per_mwh
belgian_general,baseline,2025-01,1769.08,4.702,0.0,31,5874.17,23905.99,7475.07,37255.23,37255.23,0,51550.98,0.0,225.98,89032.19,50.3268
belgian_general,baseline,2025-02,1674.397,4.729,0.0,28,5305.7,21715.11,7075.0,34095.81,34095.81,0,48791.93,0.0,204.11,83091.85,49.6249
belgian_general,baseline,2025-03,1540.384,4.261,0.0,31,5874.17,21661.93,6508.74,34044.84,34044.84,0,44886.8,0.0,225.98,79157.62,51.3882
belgian_general,baseline,2025-04,1233.114,3.641,0.0,30,5684.68,17912.91,5210.4,28807.99,28807.99,0,35932.94,0.0,218.69,64959.62,52.6793
belgian_general,baseline,2025-05,1165.843,3.396,0.0,31,5874.17,17262.05,4926.15,28062.38,28062.38,0,33972.68,0.0,225.98,62261.03,53.4043
belgian_general,baseline,2025-06,1169.968,3.533,0.0,30,5684.68,17379.12,4943.58,28007.38,28007.38,0,34092.87,0.0,218.69,62318.94,53.2655
belgian_general,baseline,2025-07,1151.709,3.578,0.0,31,5874.17,18190.03,4866.43,28930.64,28930.64,0,33560.8,0.0,225.98,62717.42,54.456
belgian_general,baseline,2025-08,1229.978,3.558,0.0,31,5874.17,18088.06,5197.15,29159.37,29159.37,0,35841.55,0.0,225.98,65226.9,53.031
belgian_general,baseline,2025-09,1228.771,3.784,0.0,30,5684.68,18616.53,5192.05,29493.26,29493.26,0,35806.39,0.0,218.69,65518.34,53.3202
belgian_general,baseline,2025-10,1328.51,3.817,0.0,31,5874.17,19403.32,5613.49,30890.98,30890.98,0,38712.79,0.0,225.98,69829.75,52.5624
belgian_general,baseline,2025-11,1473.687,4.559,0.0,30,5684.68,22429.44,6226.92,34341.04,34341.04,0,42943.24,0.0,218.69,77502.97,52.5912
belgian_general,baseline,2025-12,1232.914,4.202,0.0,31,5874.17,21363.1,5209.55,32446.83,32446.83,0,35927.11,0.0,225.98,68599.92,55.6405
belgian_general,with_pv,2025-01,1401.128,4.358,311.428,31,5874.17,22153.38,5920.33,33947.88,33947.88,0,40828.88,545.31,225.98,75548.05,53.9194
belgian_general,with_pv,2025-02,1180.107,4.602,823.12,28,5305.7,21130.23,4986.42,31422.36,31422.36,0,34388.32,1441.28,204.11,67456.07,57.161
belgian_general,with_pv,2025-03,879.557,3.477,1146.864,31,5874.17,17676.88,3716.48,27267.54,27267.54,0,25630.3,2008.16,225.98,55131.98,62.6815
belgian_general,with_pv,2025-04,551.756,2.573,1840.826,30,5684.68,12658.62,2331.39,20674.69,20674.69,0,16078.16,3223.29,218.69,40194.82,72.849
belgian_general,with_pv,2025-05,440.725,2.35,2821.278,31,5874.17,11947.0,1862.24,19683.41,19683.41,0,12842.71,4940.06,225.98,37692.16,85.5232
belgian_general,with_pv,2025-06,417.259,3.457,3032.158,30,5684.68,17005.21,1763.09,24452.98,24452.98,0,12158.93,5309.31,218.69,42139.91,100.9922
belgian_general,with_pv,2025-07,428.928,2.632,2067.475,31,5874.17,13377.97,1812.39,21064.53,21064.53,0,12498.96,3620.15,225.98,37409.62,87.2166
belgian_general,with_pv,2025-08,520.958,2.753,1881.296,31,5874.17,13997.42,2201.26,22072.85,22072.85,0,15180.72,3294.15,225.98,40773.69,78.2667
