,demand
0,0.6480199999999999
1,0.66304
2,0.6460799999999999
3,0.626
4,0.64816
5,0.63852
6,0.63406
7,0.62812
8,0.61156
9,0.6715399999999999
10,0.6656599999999999
11,0.62606
12,0.6330399999999999
13,0.6365599999999999
14,0.60614
15,0.62906
16,0.61056
17,0.64464
18,0.6315599999999999
19,0.5880599999999999
20,0.67714
21,0.6590799999999999
22,0.6595599999999999
23,0.65814
24,0.6760799999999999
25,0.65906
26,0.66804
27,0.66806
28,0.68204
29,0.6585799999999999
30,0.6905399999999999
31,0.72412
32,0.7125199999999999
33,0.68912
34,0.66814
35,0.71004
36,0.7145799999999999
37,0.66564
38,0.6610199999999999
39,0.67106
40,0.6675599999999999
41,0.6615599999999999
42,0.65804
43,0.6485799999999999
44,0.6150599999999999
45,0.62408
46,0.62506
47,0.61456
48,0.63906
49,0.6275599999999999
50,0.63362
51,0.67106
52,0.66306
53,0.63714
54,0.61952
55,0.66462
56,0.66806
57,0.66306
58,0.64706
59,0.6330399999999999
60,0.63306
61,0.65054
62,0.64562
63,0.62654
64,0.6255799999999999
65,0.64554
66,0.63354
67,0.63152
68,0.62454
69,0.60354
70,0.6070399999999999
71,0.5950599999999999
72,0.61254
73,0.6070599999999999
74,0.59154
75,0.62654
76,0.6235799999999999
77,0.60056
78,0.64006
79,0.62106
80,0.6505599999999999
81,0.6255599999999999
82,0.64554
83,0.6635599999999999
84,0.63306
85,0.64006
86,0.63914
87,0.644
88,0.63416
89,0.6695399999999999
90,0.64704
91,0.66306
92,0.68052
93,0.65906
94,0.6535599999999999
95,0.66158
96,0.65004
97,0.6715399999999999
98,0.6530799999999999
99,0.66814
100,0.6765599999999999
101,0.65762
102,0.6675599999999999
103,0.6740799999999999
104,0.67058
105,0.6620799999999999
106,0.66112
107,0.6425799999999999
108,0.66054
109,0.6625599999999999
110,0.6630799999999999
111,0.6411399999999999
112,0.6695599999999999
113,0.6565799999999999
114,0.6755599999999999
115,0.66604
116,0.67706
117,0.66006
118,0.65054
119,0.6960799999999999
120,0.73108
121,0.76006
122,0.7440599999999999
123,0.761
124,0.77054
125,0.84964
126,0.8415199999999999
127,0.74156
128,0.70604
129,0.60552
130,0.51902
131,0.5645
132,0.54704
133,0.5155599999999999
134,0.51196
135,0.51904
136,0.50506
137,0.52252
138,0.51904
139,0.5295
140,0.50854
141,0.49004000000000003
142,0.64652
143,0.59812
144,0.6070599999999999
145,0.60456
146,0.57356
147,0.60854
148,0.57356
149,0.6320399999999999
150,0.62152
151,0.63406
152,0.5940599999999999
153,0.5555
154,0.59404
155,0.5590599999999999
156,0.6100399999999999
157,0.587
158,0.7100799999999999
159,0.74154
160,0.72156
161,0.7340599999999999
162,0.70602
163,0.73854
164,0.7265199999999999
165,0.736
166,0.7400399999999999
167,0.7390599999999999
168,0.7340399999999999
169,0.74256
170,0.757
171,0.7540399999999999
172,0.7430399999999999
173,0.70956
174,0.7200599999999999
175,0.7220599999999999
176,0.7165199999999999
177,0.72854
178,0.7390399999999999
179,0.75906
180,0.7100799999999999
181,0.7215199999999999
182,0.7070599999999999
183,0.7100799999999999
184,0.7055
185,0.6845399999999999
186,0.68756
187,0.7085799999999999
188,0.68856
189,0.70754
190,0.697
191,0.7190599999999999
192,0.6965399999999999
193,0.6910799999999999
194,0.71254
195,0.73156
196,0.70362
197,0.71756
198,0.71254
199,0.6795599999999999
200,0.6895399999999999
201,0.7075799999999999
202,0.6940799999999999
203,0.71966
204,0.7185199999999999
205,0.73714
206,0.7240599999999999
207,0.7040799999999999
208,0.6845399999999999
209,0.69414
210,0.69904
211,0.70114
212,0.71656
213,0.7445799999999999
214,0.73156
215,0.74502
216,0.8440599999999999
217,0.88406
218,0.91702
219,0.9270799999999999
220,0.9770599999999999
221,1.28754
222,1.29006
223,1.3005799999999998
224,1.25504
225,1.39154
226,1.38404
227,1.38154
228,1.4025
229,1.34612
230,1.38102
231,1.44356
232,1.45356
233,1.44354
234,1.39556
235,1.37014
236,1.29154
237,1.2490599999999998
238,1.2666399999999998
239,1.24508
240,1.19814
241,1.17556
242,1.2251599999999998
243,1.21816
244,1.2085599999999999
245,1.1636399999999998
246,1.14002
247,1.13408
248,1.0870799999999998
249,1.0205
250,1.01404
251,1.00156
252,1.01002
253,1.07108
254,1.1115599999999999
255,1.09504
256,1.13956
257,1.10906
258,1.06954
259,1.05656
260,1.04952
261,1.0470599999999999
262,1.02206
263,1.00704
264,1.01356
265,1.02508
266,1.02504
267,1.0210599999999999
268,1.06754
269,1.05304
270,1.0540399999999999
271,1.31056
272,1.40854
273,1.40656
274,1.37852
275,1.43056
276,1.39704
277,1.3830799999999999
278,1.27902
279,1.08904
280,1.0580399999999999
281,1.04808
282,1.34202
283,1.3000399999999999
284,1.27256
285,1.32208
286,1.27508
287,1.15754
288,1.28752
289,1.2960399999999999
290,1.27856
291,0.9800399999999999
292,0.98512
293,0.96954
294,0.97952
295,1.3690799999999999
296,1.34204
297,1.40008
298,1.26004
299,1.21806
300,1.0926399999999998
301,1.19556
302,1.2365599999999999
303,1.2551199999999998
304,1.29456
305,1.2085599999999999
306,0.94856
307,0.97414
308,0.9700799999999999
309,0.96604
310,1.0140799999999999
311,1.0715599999999998
312,1.0970799999999998
313,1.14408
314,1.15956
315,1.14356
316,1.13354
317,1.15954
318,1.2005599999999998
319,1.22354
320,1.17156
321,1.25108
322,1.23752
323,1.20502
324,1.2185599999999999
325,1.18552
326,1.16608
327,1.11608
328,1.04652
329,1.21156
330,1.27056
331,1.30052
332,1.22956
333,1.40704
334,1.24756
335,1.23908
336,1.1386399999999999
337,1.23804
338,1.17056
339,1.1246399999999999
340,1.04552
341,0.95712
342,1.03954
343,0.98064
344,0.95412
345,0.94652
346,0.95056
347,0.93456
348,1.00202
349,1.0731199999999999
350,0.95052
351,0.929
352,1.00606
353,1.14
354,1.06056
355,0.96956
356,0.96846
357,0.98056
358,0.9480799999999999
359,0.958
360,0.9370599999999999
361,0.95756
362,0.94504
363,0.93504
364,0.9550599999999999
365,0.96202
366,1.16906
367,1.29652
368,1.20504
369,1.23108
370,1.15106
371,1.3000399999999999
372,1.3195599999999998
373,1.30952
374,1.13404
375,1.0200799999999999
376,1.03908
377,1.02508
378,1.23104
379,1.30154
380,1.31104
381,1.28908
382,1.225
383,1.2690599999999999
384,1.1270799999999999
385,1.31308
386,1.21908
387,0.99154
388,0.98
389,0.97556
390,0.9811599999999999
391,1.24104
392,1.33504
393,1.3175599999999998
394,1.36608
395,1.2476599999999998
396,1.19556
397,1.23504
398,1.34808
399,1.28956
400,1.27406
401,1.2296399999999998
402,1.01604
403,0.98612
404,0.98908
405,0.98608
406,0.99364
407,0.97454
408,1.0125
409,1.00458
410,1.0200799999999999
411,1.02348
412,1.09656
413,1.22512
414,1.375
415,1.29408
416,1.47406
417,1.39152
418,1.3275599999999999
419,1.29256
420,1.23652
421,1.34904
422,1.6620599999999999
423,1.53352
424,1.4560799999999998
425,1.52856
426,1.58
427,1.65458
428,1.72552
429,1.5930799999999998
430,1.68956
431,1.5945799999999999
432,1.61552
433,1.6251399999999998
434,1.66204
435,1.4435
436,1.2580799999999999
437,1.15354
438,1.1555799999999998
439,1.12006
440,1.12002
441,1.08804
442,1.08106
443,1.0885799999999999
444,1.11106
445,1.0775
446,1.09654
447,1.06854
448,1.091
449,1.04914
450,1.00502
451,0.9930599999999999
452,0.99906
453,1.0105
454,1.10106
455,1.1320599999999998
456,1.12554
457,1.16156
458,1.26002
459,1.52514
460,1.58754
461,1.47106
462,1.8625399999999999
463,1.875
464,1.40556
465,1.43356
466,1.50854
467,1.54302
468,1.60014
469,1.61408
470,1.90454
471,1.73206
472,1.61906
473,1.3865399999999999
474,1.58106
475,2.03156
476,2.02154
477,1.99602
478,1.95554
479,1.8655599999999999
480,1.97758
481,2.0266599999999997
482,1.9100599999999999
483,1.65506
484,1.44306
485,1.39656
486,1.66706
487,1.9311399999999999
488,1.86414
489,1.82354
490,1.73512
491,1.60106
492,1.45254
493,1.2690599999999999
494,1.29714
495,1.26656
496,1.29206
497,1.17414
498,1.11208
499,1.1155599999999999
500,1.10806
501,1.15208
502,1.16214
503,1.20658
504,1.3645399999999999
505,1.4995
506,1.54808
507,1.68052
508,1.88856
509,2.2801199999999997
510,2.826
511,3.04306
512,3.02698
513,2.98804
514,3.06806
515,3.22164
516,3.06304
517,3.13354
518,3.33256
519,3.16502
520,2.71958
521,2.605
522,2.72002
523,2.9170599999999998
524,3.04956
525,2.83054
526,2.77252
527,2.68856
528,2.58504
529,2.67154
530,2.75958
531,2.67752
532,2.58552
533,2.58452
534,2.554080008
535,2.56452
536,2.5525
537,2.57296
538,2.5703400000000003
539,2.58554
540,2.69434
541,2.715519992
542,2.54706
543,2.4873600000000002
544,2.4973600080000002
545,2.38508
546,2.38902
547,2.26056
548,2.1527399999999997
549,2.26586
550,2.51414
551,2.3243400000000003
552,2.2835
553,2.32742
554,2.321
555,2.2870999999999997
556,2.32152
557,2.35544
558,2.5180599999999997
559,2.62096
560,2.579
561,2.51738
562,2.7191
563,2.64888
564,2.71616
565,2.66154
566,2.62644
567,2.38158
568,2.32864
569,2.3492800000000003
570,2.32804
571,2.74006
572,2.66452
573,2.45352
574,2.20152
575,2.07176
576,2.01734
577,2.21348
578,2.02054
579,1.9290399999999999
580,1.9404000000000001
581,1.9506199999999998
582,1.87088
583,1.86822
584,1.9536600000000002
585,1.85548
586,1.74508
587,1.7154800000000001
588,1.76558
589,1.87228
590,1.82478
591,1.713
592,1.81714
593,1.89
594,1.8245799999999999
595,1.85002
596,1.9760199999999999
597,1.98504
598,1.91706
599,2.02252
600,2.313
601,2.48052
602,2.65454
603,2.74852
604,2.7465
605,2.94502
606,3.44698
607,3.468
608,3.744
609,4.14304
610,4.36046
611,4.10954
612,4.16604
613,4.1405
614,4.04096
615,3.79652
616,3.51404
617,3.62604
618,4.128
619,4.08204
620,4.07696
621,4.13602
622,4.00096
623,3.85706
624,3.78602
625,3.83296
626,3.95152
627,3.718
628,3.6605
629,3.63314
630,3.7119
631,3.9637399999999996
632,3.80588
633,3.83548
634,3.79354
635,4.04236
636,3.6315
637,3.45446
638,3.47002
639,3.3016799999999997
640,3.14806
641,3.0747
642,2.96506
643,2.798000008
644,3.049040008
645,2.89668
646,2.64042
647,2.74502
648,2.4935
649,2.60458
650,2.59398
651,2.49852
652,2.2516599999999998
653,2.19942
654,2.313
655,2.13854
656,2.18854
657,2.74002
658,2.89154
659,2.78856
660,2.84952
661,2.91804
662,2.79452
663,2.8018
664,2.84878
665,2.74654
666,2.8415
667,2.84
668,2.82258
669,2.8685
670,2.7715799999999997
671,2.47802
672,2.25498
673,2.14962
674,2.1525
675,2.1255
676,2.1141
677,2.10502
678,2.14356
679,2.12856
680,2.03754
681,2.03852
682,2.036
683,2.0005
684,2.04102
685,2.0475
686,2.0410399999999997
687,2.0340599999999998
688,2.09704
689,2.17606
690,2.18652
691,2.03606
692,1.97654
693,2.0325
694,2.01502
695,2.10206
696,2.34652
697,2.70798
698,3.11852
699,3.18052
700,3.17598
701,3.46752
702,3.4715
703,3.72398
704,3.8215
705,3.7765
706,3.732
707,3.90102
708,3.84596
709,4.0995
710,4.1580200000000005
711,3.78152
712,3.60198
713,3.68056
714,4.05698
715,4.01124
716,4.173160000000001
717,4.4295
718,4.38154
719,3.8225
720,3.72558
721,3.63056
722,3.54546
723,3.49752
724,3.5071399999999997
725,3.59504
726,4.02152
727,3.94
728,3.797
729,3.59104
730,3.5735
731,3.70652
732,3.3875
733,3.51098
734,3.4731199999999998
735,3.3423000000000003
736,3.04392
737,2.96812
738,3.11848
739,3.15802
740,3.1849600000000002
741,3.30602
742,3.30946
743,3.1865
744,3.1445
745,2.94448
746,3.08702
747,3.6145
748,3.26252
749,3.3425
750,3.40998
751,3.31452
752,2.96952
753,2.955
754,2.97852
755,2.92352
756,2.91204
757,2.90152
758,2.97302
759,3.0005
760,3.0565
761,2.933
762,2.9710199999999998
763,2.89004
764,2.93852
765,3.11952
766,2.89552
767,2.89204
768,2.89502
769,2.729
770,2.50252
771,2.3185
772,2.26002
773,2.38656
774,2.33602
775,2.266
776,2.17652
777,2.14504
778,2.1270599999999997
779,1.94952
780,1.81106
781,1.81002
782,1.82802
783,1.78904
784,1.85804
785,1.86058
786,1.8625
787,1.81152
788,1.77702
789,1.80504
790,1.75854
791,1.8665399999999999
792,2.10052
793,2.24948
794,2.50502
795,2.57402
796,2.78448
797,3.02402
798,3.16298
799,3.165
800,3.205
801,3.35664
802,3.71152
803,3.63348
804,3.6505199999999998
805,3.66298
806,3.62298
807,3.5
808,3.214
809,3.16702
810,3.3305
811,3.5795
812,3.54298
813,3.61652
814,3.7505
815,3.56902
816,3.42398
817,3.4784800000000002
818,3.60302
819,3.96098
820,3.934000008
821,3.91202
822,3.72298
823,3.60646
824,3.69254
825,3.3414800000000002
826,3.4755
827,3.384480008
828,3.37252
829,3.204039992
830,3.25502
831,3.07204
832,2.803
833,2.4670199999999998
834,2.475520008
835,2.77802
836,2.665040008
837,2.32902
838,2.550520008
839,2.45302
840,2.425520008
841,2.6000199999999998
842,2.783040008
843,2.72702
844,2.5105
845,2.606000008
846,2.751520008
847,2.94102
848,2.834520008
849,2.72554
850,2.690520008
851,2.484560008
852,2.46002
853,2.4920000079999998
854,2.53602
855,2.844000008
856,2.635560008
857,2.61254
858,2.537960008
859,2.636080008
860,2.68654
861,2.456040008
862,2.3995
863,2.3750000079999998
864,2.36702
865,2.533560008
866,2.415520008
867,2.271560008
868,2.2090199999999998
869,2.21654
870,2.231000008
871,2.18858
872,2.170040008
873,2.0880199999999998
874,2.045520008
875,2.055560008
876,2.0865
877,2.0880199999999998
878,2.083520008
879,2.05302
880,2.03506
881,2.040040008
882,2.0470400079999997
883,2.0985
884,2.161040008
885,2.091080008
886,2.06802
887,2.220520008
888,2.453520008
889,2.535000008
890,2.78648
891,3.05402
892,3.20246
893,3.101
894,3.20402
895,3.52604
896,3.46298
897,3.80754
898,4.002560008
899,3.62806
900,3.70546
901,3.76702
902,3.866
903,3.73898
904,3.527
905,3.391
906,3.49808
907,3.55186
908,3.55502
909,3.6011599999999997
910,3.38816
911,3.24186
912,3.3855399999999998
913,3.43702
914,3.57154
915,3.63286
916,3.50718
917,3.5055
918,3.3621
919,3.23562
920,3.11402
921,3.14266
922,3.03754
923,3.2783200000000003
924,2.80744
925,2.68558
926,2.65282
927,2.4706599999999996
928,2.23984
929,2.4341399999999997
930,2.38298
931,2.41854
932,2.521039992
933,2.7124800000000002
934,2.751519992
935,2.71402
936,2.40552
937,2.45954
938,2.520519992
939,2.4240399999999998
940,2.50552
941,2.86952
942,2.809519992
943,2.41646
944,2.25802
945,2.22402
946,2.38002
947,2.50054
948,2.54302
949,2.502
950,2.49256
951,2.34104
952,2.16754
953,2.086999992
954,2.08904
955,2.0675
956,1.95504
957,1.96552
958,1.91604
959,1.84802
960,1.85104
961,1.901
962,1.883519992
963,1.844
964,1.824
965,1.73152
966,1.78054
967,1.67102
968,1.68054
969,1.58754
970,1.65154
971,1.66554
972,1.676
973,1.68208
974,1.62102
975,1.654039992
976,1.68008
977,1.66402
978,1.65902
979,1.6315
980,1.67152
981,1.66106
982,1.66354
983,1.8165
984,1.93052
985,1.95554
986,2.02402
987,2.01102
988,2.06004
989,2.27946
990,2.43154
991,2.61102
992,2.57398
993,2.91054
994,3.0920199999999998
995,3.205
996,3.0845
997,3.04802
998,3.12102
999,2.7594600000000002
1000,2.59102
1001,2.73996
1002,3.1215
1003,3.073
1004,3.29498
1005,3.18652
1006,3.07354
1007,3.23652
1008,3.03602
1009,3.08902
1010,3.20602
